open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
13.19,13.33,12.95,12.96,10007900.0,000695.SZ,2026-03-02,滨海能源,,CNY
13.05,13.19,12.6,12.61,11054821.0,000695.SZ,2026-03-03,滨海能源,,CNY
12.55,12.73,12.36,12.52,8460200.0,000695.SZ,2026-03-04,滨海能源,,CNY
12.77,13.14,12.77,12.99,11632800.0,000695.SZ,2026-03-05,滨海能源,,CNY
12.91,13.45,12.89,13.3,11550800.0,000695.SZ,2026-03-06,滨海能源,,CNY
13.35,13.66,13.1,13.52,16024669.0,000695.SZ,2026-03-09,滨海能源,,CNY
13.6,13.89,13.39,13.62,15104700.0,000695.SZ,2026-03-10,滨海能源,,CNY
13.62,13.83,13.51,13.6,13880506.0,000695.SZ,2026-03-11,滨海能源,,CNY
13.67,13.88,13.4,13.85,18352305.0,000695.SZ,2026-03-12,滨海能源,,CNY
13.85,15.15,13.83,14.43,39276233.0,000695.SZ,2026-03-13,滨海能源,,CNY
15.1,15.5,14.7,15.3,40508898.0,000695.SZ,2026-03-16,滨海能源,,CNY
15.28,15.36,14.3,14.31,24643395.0,000695.SZ,2026-03-17,滨海能源,,CNY
14.35,14.5,13.77,13.95,18051902.0,000695.SZ,2026-03-18,滨海能源,,CNY
13.91,14.02,13.34,13.41,11970600.0,000695.SZ,2026-03-19,滨海能源,,CNY
13.39,13.74,13.04,13.08,14726701.0,000695.SZ,2026-03-20,滨海能源,,CNY
12.91,13.54,12.54,12.71,17673800.0,000695.SZ,2026-03-23,滨海能源,,CNY
12.9,13.21,12.4,13.21,13878400.0,000695.SZ,2026-03-24,滨海能源,,CNY
13.2,13.26,12.79,12.89,16994705.0,000695.SZ,2026-03-25,滨海能源,,CNY
12.77,13.43,12.7,12.99,18389900.0,000695.SZ,2026-03-26,滨海能源,,CNY
12.93,14.29,12.85,14.29,29887600.0,000695.SZ,2026-03-27,滨海能源,,CNY
14.54,14.8,13.87,13.98,34320501.0,000695.SZ,2026-03-30,滨海能源,,CNY
13.98,14.02,13.27,13.27,21009100.0,000695.SZ,2026-03-31,滨海能源,,CNY
13.71,13.76,12.74,13.01,27734700.0,000695.SZ,2026-04-01,滨海能源,,CNY
13.0,13.87,12.76,12.87,29401605.0,000695.SZ,2026-04-02,滨海能源,,CNY
12.87,12.87,11.61,11.73,26498800.0,000695.SZ,2026-04-03,滨海能源,,CNY
11.72,12.9,11.71,12.9,29102800.0,000695.SZ,2026-04-07,滨海能源,,CNY
12.9,13.08,12.65,13.01,25523900.0,000695.SZ,2026-04-08,滨海能源,,CNY
13.21,13.32,12.75,13.09,17411400.0,000695.SZ,2026-04-09,滨海能源,,CNY
13.25,13.62,13.07,13.45,18793000.0,000695.SZ,2026-04-10,滨海能源,,CNY
13.31,14.1,13.31,13.96,19551500.0,000695.SZ,2026-04-13,滨海能源,,CNY
14.2,14.39,13.79,14.39,21050490.0,000695.SZ,2026-04-14,滨海能源,,CNY
14.67,14.97,14.48,14.79,22830200.0,000695.SZ,2026-04-15,滨海能源,,CNY
14.8,14.99,14.41,14.81,16421590.0,000695.SZ,2026-04-16,滨海能源,,CNY
14.73,15.31,14.72,14.99,17311690.0,000695.SZ,2026-04-17,滨海能源,,CNY
15.08,15.35,14.9,15.27,12677100.0,000695.SZ,2026-04-20,滨海能源,,CNY
15.17,15.21,14.69,15.07,13616190.0,000695.SZ,2026-04-21,滨海能源,,CNY
15.08,15.34,14.65,14.82,12597300.0,000695.SZ,2026-04-22,滨海能源,,CNY
14.82,14.85,14.4,14.57,12063383.0,000695.SZ,2026-04-23,滨海能源,,CNY
14.48,14.89,14.3,14.67,9791500.0,000695.SZ,2026-04-24,滨海能源,,CNY
14.49,15.18,14.49,14.95,9133900.0,000695.SZ,2026-04-27,滨海能源,,CNY
14.88,15.41,14.85,15.06,10818500.0,000695.SZ,2026-04-28,滨海能源,,CNY
15.01,15.81,14.76,15.66,16358301.0,000695.SZ,2026-04-29,滨海能源,,CNY
